,Factor1,Factor2,Factor3,Factor4,filename,microregister,macroregister,mode
brdcastdS1B-023_MAT.txt,0.534808557531385,-0.768718468352042,-0.1638600030866,-0.733862058612089,brdcastdS1B-023_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-024_MAT.txt,0.460246745372068,-0.767756095931446,0.102085084851091,-0.49561211944231,brdcastdS1B-024_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-025_MAT.txt,1.11719794358446,-0.170331401946577,-0.357251800948442,-0.800031191973042,brdcastdS1B-025_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-026_MAT.txt,0.62528494770862,-0.225135983906508,0.196273766207179,-0.817079871734872,brdcastdS1B-026_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-027_MAT.txt,0.657561792642302,-0.097401136742076,-0.076913887661195,-0.48232058155519,brdcastdS1B-027_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-028_MAT.txt,1.01477014959206,-0.971703923682173,-0.456753739090469,-1.3168839905928,brdcastdS1B-028_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-029_MAT.txt,0.895698867069617,0.548917690328189,0.070667857748376,-0.364012506895584,brdcastdS1B-029_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-030_MAT.txt,0.858688167100937,1.20976829197032,-0.477840802792443,0.012598275570364,brdcastdS1B-030_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-031_MAT.txt,0.465402399516847,0.906149493354714,0.419732157083477,1.02100953452329,brdcastdS1B-031_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-032_MAT.txt,0.987654509865719,-0.602014505298486,0.721829223954097,-0.592129209329229,brdcastdS1B-032_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-033_MAT.txt,1.19864421001978,1.3330377196955,0.472926410077828,-0.296522711528403,brdcastdS1B-033_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-034_MAT.txt,1.33744737318385,1.38270477753103,-0.435597130015297,-0.138001245077453,brdcastdS1B-034_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-035_MAT.txt,0.682575146966033,-0.440086420860871,-0.373779076570817,-0.724394835031934,brdcastdS1B-035_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-036_MAT.txt,1.05853578818958,-0.43356627605858,-0.782617878208813,-1.03001568276789,brdcastdS1B-036_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-037_MAT.txt,0.722463826860043,-0.331912693937652,-0.650357504533845,-0.200898856362673,brdcastdS1B-037_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-038_MAT.txt,1.16317138892765,0.147765045260166,0.483148335246629,-0.681094533335117,brdcastdS1B-038_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-039_MAT.txt,0.977771930045407,0.024255367262339,0.250603308271261,2.23487690029198,brdcastdS1B-039_MAT.txt,broadcast discussion,broadcast,spoken
brdcastdS1B-040_MAT.txt,1.07438883165354,0.940798769625,-0.527861715320844,-0.54913511885928,brdcastdS1B-040_MAT.txt,broadcast discussion,broadcast,spoken
brdcastiS1B-041_MAT.txt,0.963523295864579,1.18059902818348,-0.903432260266095,-0.650983258652592,brdcastiS1B-041_MAT.txt,broadcast interview,broadcast,spoken
brdcastiS1B-042_MAT.txt,1.39660548699382,-0.325169482163344,0.083137613323865,-0.485061399792485,brdcastiS1B-042_MAT.txt,broadcast interview,broadcast,spoken
brdcastiS1B-043_MAT.txt,0.900519800736724,-0.453319123282996,-0.059815586419957,0.612901895449843,brdcastiS1B-043_MAT.txt,broadcast interview,broadcast,spoken
brdcastiS1B-044_MAT.txt,1.17625628980206,-0.802519259537136,-0.060315106300707,0.18652050822264,brdcastiS1B-044_MAT.txt,broadcast interview,broadcast,spoken
brdcastiS1B-045_MAT.txt,0.591981056516288,0.112688335135715,-0.477989022650813,-0.350402696535741,brdcastiS1B-045_MAT.txt,broadcast interview,broadcast,spoken
brdcastiS1B-046_MAT.txt,1.07704254692224,-0.092479799750327,0.443977980092379,-1.41613185342749,brdcastiS1B-046_MAT.txt,broadcast interview,broadcast,spoken
brdcastiS1B-047_MAT.txt,1.02509359484548,0.422497436947147,-0.038411214480816,1.15355852321114,brdcastiS1B-047_MAT.txt,broadcast interview,broadcast,spoken
brdcastiS1B-048_MAT.txt,1.20008247973399,0.791123317300346,-0.574095897197647,-0.61053509489412,brdcastiS1B-048_MAT.txt,broadcast interview,broadcast,spoken
brdcastiS1B-049_MAT.txt,1.17391300703635,-0.114030842090482,0.546347207093057,0.761306592326266,brdcastiS1B-049_MAT.txt,broadcast interview,broadcast,spoken
brdcastiS1B-050_MAT.txt,0.628921672863576,0.050395778134906,-0.069774334426843,-0.718373671044159,brdcastiS1B-050_MAT.txt,broadcast interview,broadcast,spoken
businessS1B-071_MAT.txt,0.816448501358301,0.001483102020542,0.122646963564808,0.082059324750152,businessS1B-071_MAT.txt,business transactions,busniness transactions,spoken
businessS1B-072_MAT.txt,0.798451304959753,0.696199517273196,-0.498999621045408,0.600004600587629,businessS1B-072_MAT.txt,business transactions,busniness transactions,spoken
businessS1B-073_MAT.txt,1.25876915607214,0.818798562224053,-0.407260262186318,-0.457359479359119,businessS1B-073_MAT.txt,business transactions,busniness transactions,spoken
businessS1B-074_MAT.txt,1.31656367521192,-0.253043730036324,0.348419170305272,-1.5340362252088,businessS1B-074_MAT.txt,business transactions,busniness transactions,spoken
businessS1B-075_MAT.txt,1.91193128066532,-0.464477331855307,0.383755764193113,-1.6905551856014,businessS1B-075_MAT.txt,business transactions,busniness transactions,spoken
businessS1B-076_MAT.txt,1.51136895736309,-0.307795207063591,0.733106856170998,-0.727536827085281,businessS1B-076_MAT.txt,business transactions,busniness transactions,spoken
businessS1B-077_MAT.txt,1.63005839033909,0.998570660435443,-0.883410877848402,0.112687419235634,businessS1B-077_MAT.txt,business transactions,busniness transactions,spoken
businessS1B-078_MAT.txt,1.56592257331775,0.171022340913645,-0.881955909751348,0.150236905034126,businessS1B-078_MAT.txt,business transactions,busniness transactions,spoken
businessS1B-079_MAT.txt,1.46189027832912,-0.299268681136257,-0.206262200483577,-0.730139203905742,businessS1B-079_MAT.txt,business transactions,busniness transactions,spoken
businessS1B-080_MAT.txt,0.973636118144908,0.930090663570726,-0.109934522253228,0.596546854363745,businessS1B-080_MAT.txt,business transactions,busniness transactions,spoken
commentariesS2A-001_MAT.txt,0.071352134345684,-2.11244422785084,-1.3923382116366,-0.923325777735987,commentariesS2A-001_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-002_MAT.txt,0.002249480245603,-1.99293879499946,-1.08471067206374,-0.08751468050487,commentariesS2A-002_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-003_MAT.txt,-0.107842137696764,-2.55449437127885,-1.65975788108577,-1.16418244040814,commentariesS2A-003_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-004_MAT.txt,0.036144694574306,-2.52657049360155,-1.23188335819708,-1.19902336079909,commentariesS2A-004_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-005_MAT.txt,0.181540075920539,-1.89864597288871,-1.14194347475309,-0.376716941791209,commentariesS2A-005_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-006_MAT.txt,0.167567399792758,-2.54121541467014,-1.31637089262903,-1.08927313550842,commentariesS2A-006_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-007_MAT.txt,-0.093276617391954,-1.32117184138968,-0.127210306199497,-0.091931631982225,commentariesS2A-007_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-008_MAT.txt,0.514649269267629,-0.707636872151347,0.182778036691005,-0.327320992647954,commentariesS2A-008_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-009_MAT.txt,-0.057718660591703,-1.03574711753954,0.654084719943576,-0.962250405073727,commentariesS2A-009_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-010_MAT.txt,0.055456587509818,-1.17663686483348,1.53369831606134,-0.013683195364787,commentariesS2A-010_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-011_MAT.txt,0.705485481015682,-0.582764107670362,-0.339244318453336,-0.621940506930474,commentariesS2A-011_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-012_MAT.txt,0.736929394156959,-1.08155607970545,-0.164595343064385,-0.974675228352207,commentariesS2A-012_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-013_MAT.txt,0.095225202009319,-1.99798594767371,-1.25569487397591,-0.522572642511911,commentariesS2A-013_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-014_MAT.txt,0.136498437040707,-1.03911110460594,1.16449465126821,0.048200848494866,commentariesS2A-014_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-015_MAT.txt,0.227102914055152,-0.854061333013031,0.354445595307146,-0.17500639766414,commentariesS2A-015_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-016_MAT.txt,0.153257716792109,-1.73370435267893,-1.06871894195631,-0.590684074885572,commentariesS2A-016_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-017_MAT.txt,0.437024299843582,-0.785229911247019,-0.204835966468006,-0.574271156375817,commentariesS2A-017_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-018_MAT.txt,0.687307979587101,-0.753095703950322,-0.157710774698978,-0.514009260433838,commentariesS2A-018_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-019_MAT.txt,0.522087574750787,-0.937580362969391,-0.367269678737281,-0.608861398258351,commentariesS2A-019_MAT.txt,commentaries,commentaries,spoken
commentariesS2A-020_MAT.txt,0.202605916976095,-2.33669956133105,-1.21567580117351,-0.596014923729164,commentariesS2A-020_MAT.txt,commentaries,commentaries,spoken
comments2012.4527764_MAT.txt,-0.019795933569959,-0.030395768399097,0.876775143130454,1.11799101755111,comments2012.4527764_MAT.txt,online comments,online comments,written
comments2013.10374471_MAT.txt,-0.597815368549863,-0.574732086482912,0.967980813051335,-0.833548171326388,comments2013.10374471_MAT.txt,online comments,online comments,written
comments2013.10749814_MAT.txt,-0.090316845449281,0.850478520540924,1.22085927523178,-0.237505423935103,comments2013.10749814_MAT.txt,online comments,online comments,written
comments2013.11580291_MAT.txt,-0.075494498833001,0.31607084850231,0.117148166304924,-0.24185437454413,comments2013.11580291_MAT.txt,online comments,online comments,written
comments2013.11712162_MAT.txt,-0.280146166688163,0.42684754078066,0.918561452833499,-0.859850718487935,comments2013.11712162_MAT.txt,online comments,online comments,written
comments2013.12758327_MAT.txt,-0.818714569516543,-0.931874527391738,0.858267827749569,-0.335553422574094,comments2013.12758327_MAT.txt,online comments,online comments,written
comments2013.13338436_MAT.txt,-0.093451398720953,0.821890373043529,1.04390213254712,-0.18372597029268,comments2013.13338436_MAT.txt,online comments,online comments,written
comments2013.13545348_MAT.txt,-0.553165826896372,1.61769979999778,0.581861476389973,-0.594094783739171,comments2013.13545348_MAT.txt,online comments,online comments,written
comments2013.13702405_MAT.txt,-0.270606237331106,-0.921924938063889,1.79131892462055,-0.782491099880182,comments2013.13702405_MAT.txt,online comments,online comments,written
comments2013.14654368_MAT.txt,-0.153679584257384,0.941019209910999,1.83973160755153,-0.351685225757887,comments2013.14654368_MAT.txt,online comments,online comments,written
comments2013.15015350_MAT.txt,-0.947445345521633,-0.165419988659559,1.64924488446541,0.280078190672188,comments2013.15015350_MAT.txt,online comments,online comments,written
comments2013.15258988_MAT.txt,-0.383105182565905,0.72450827895069,0.755585212250698,-0.321762430351033,comments2013.15258988_MAT.txt,online comments,online comments,written
comments2013.15551439_MAT.txt,-0.162039625760115,0.594417191385344,1.44885355670655,0.609679761337415,comments2013.15551439_MAT.txt,online comments,online comments,written
comments2013.15683665_MAT.txt,-0.751913004238036,-0.230862431187977,0.414325432457949,-0.665415969138977,comments2013.15683665_MAT.txt,online comments,online comments,written
comments2013.16059313_MAT.txt,-0.347109600387493,0.506217769460381,0.985413599516394,-0.374338288726228,comments2013.16059313_MAT.txt,online comments,online comments,written
comments2013.16069972_MAT.txt,-0.953934606424854,-0.505083404516938,1.19097375713994,-0.935625482785116,comments2013.16069972_MAT.txt,online comments,online comments,written
comments2013.7536781_MAT.txt,0.03060698389796,-0.170441417120348,2.58214036864673,-0.360038493541876,comments2013.7536781_MAT.txt,online comments,online comments,written
comments2014.17357464_MAT.txt,-0.112062477199498,-0.476494160318293,1.54878212745211,-0.64381917320123,comments2014.17357464_MAT.txt,online comments,online comments,written
comments2014.18056398_MAT.txt,-0.378965489900437,0.326283028238922,0.969346731321046,0.356491005286512,comments2014.18056398_MAT.txt,online comments,online comments,written
