"","Factor1","Factor2","Factor3","Factor4","Factor5","filename","microregister","macroregister","mode"
"academicW2A-038_MAT.txt",-0.0753641686790654,-0.827011537528574,-0.854022348816166,3.61950140719409,-0.329338416188577,"academicW2A-038_MAT.txt","academic","academic","written"
"academicW2A-039_MAT.txt",-0.617961020763194,-1.63733631444846,0.338265524106724,1.96479052523205,-1.01553997779009,"academicW2A-039_MAT.txt","academic","academic","written"
"academicW2A-040_MAT.txt",-0.585587644368106,-1.56552958000525,-0.560044272756398,2.22960301343964,-1.01033649333283,"academicW2A-040_MAT.txt","academic","academic","written"
"brdcastdS1B-021_MAT.txt",0.108217868007497,-0.926531395087857,0.490958475385264,-0.620126698653269,-0.612027231368062,"brdcastdS1B-021_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-022_MAT.txt",0.127443972173872,-1.8784244432382,1.72730278214739,-0.259899296649293,-0.610482926427982,"brdcastdS1B-022_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-023_MAT.txt",0.436546314885823,0.211679983711771,-0.745021072203058,-1.08904486701856,-0.963406475194544,"brdcastdS1B-023_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-024_MAT.txt",0.317004649630054,0.329349631331381,-0.50514131378089,-1.08291469276221,-0.625965305875703,"brdcastdS1B-024_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-025_MAT.txt",1.09611946098358,-0.691337684414198,0.237713631514094,0.110291738933821,-0.781880391526496,"brdcastdS1B-025_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-026_MAT.txt",0.438882833027611,-0.22559957459606,0.394795842314515,-0.267063412356202,-0.804862756866658,"brdcastdS1B-026_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-027_MAT.txt",0.595096468866198,0.026696399529642,-0.0297218637393452,-0.203549727920448,-0.481473497064658,"brdcastdS1B-027_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-028_MAT.txt",0.94939793139861,-1.29906012867917,0.0791995706062568,-0.446032363218747,-1.23137467577848,"brdcastdS1B-028_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-029_MAT.txt",0.787914814769482,0.484886308477492,0.278184918849562,0.192659777242029,-0.40531247885811,"brdcastdS1B-029_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-030_MAT.txt",1.0334246409586,1.05920067787438,-0.555836671454683,0.707315986631344,-0.00443956767701267,"brdcastdS1B-030_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-031_MAT.txt",0.453202394671555,1.37812667497993,-0.0553858053042124,0.241645701627904,0.919852248073966,"brdcastdS1B-031_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-032_MAT.txt",0.636839477717253,-1.12969284423326,1.45763027668861,-0.210773141056261,-0.552016876738692,"brdcastdS1B-032_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-033_MAT.txt",1.04752237177979,1.310741278354,0.482143130732386,0.602064733620839,-0.376575039910986,"brdcastdS1B-033_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-034_MAT.txt",1.50983787772153,1.76568640317212,-0.937605583936353,0.534407215382202,-0.243196045373353,"brdcastdS1B-034_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-035_MAT.txt",0.694061843848217,0.296198148264001,-0.807314853325357,-0.672880909342133,-0.795686759289725,"brdcastdS1B-035_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-036_MAT.txt",1.08408542374317,0.255844128521655,-1.01898929458069,-0.745773425957547,-1.18652850843361,"brdcastdS1B-036_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-037_MAT.txt",0.83036400657409,0.327627429947002,-1.0485714480754,-0.556450993587209,-0.359669710467936,"brdcastdS1B-037_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-038_MAT.txt",0.968886349494013,0.348691341441054,0.383364367329122,-0.14663056203907,-0.645851568680936,"brdcastdS1B-038_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-039_MAT.txt",1.0567989151531,-0.593603330932738,0.79859100243638,0.586174366673918,2.44518657327963,"brdcastdS1B-039_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastdS1B-040_MAT.txt",1.11165849870938,1.17770350718368,-0.5716469927156,0.268407933423109,-0.647797843755507,"brdcastdS1B-040_MAT.txt","broadcast discussion","broadcast","spoken"
"brdcastiS1B-041_MAT.txt",1.19093228838513,1.29921093971576,-1.15509422983048,0.481161191607564,-0.799848737309223,"brdcastiS1B-041_MAT.txt","broadcast interview","broadcast","spoken"
"brdcastiS1B-042_MAT.txt",1.24150961431749,-0.704934120018916,0.653017403417616,-0.071637746307854,-0.436905679617009,"brdcastiS1B-042_MAT.txt","broadcast interview","broadcast","spoken"
"brdcastiS1B-043_MAT.txt",0.906090186173552,-0.426754737487979,0.103315356814977,-0.187553917353859,0.652871141868836,"brdcastiS1B-043_MAT.txt","broadcast interview","broadcast","spoken"
"brdcastiS1B-044_MAT.txt",1.06286018102607,-1.09790655517231,0.635030865572445,-0.265321867298549,0.267393038138074,"brdcastiS1B-044_MAT.txt","broadcast interview","broadcast","spoken"
"brdcastiS1B-045_MAT.txt",0.719720320234134,0.817488862421184,-1.14528992017531,-0.363185818462741,-0.55053110872415,"brdcastiS1B-045_MAT.txt","broadcast interview","broadcast","spoken"
"brdcastiS1B-046_MAT.txt",0.798791525023032,0.226691615738145,0.392374319020512,-0.431433965894907,-1.45915144301689,"brdcastiS1B-046_MAT.txt","broadcast interview","broadcast","spoken"
"brdcastiS1B-047_MAT.txt",1.10565498435614,0.179806675192285,0.15574887424725,0.444338389670501,1.21946056805371,"brdcastiS1B-047_MAT.txt","broadcast interview","broadcast","spoken"
"brdcastiS1B-048_MAT.txt",1.32573078610131,0.28379835498327,-0.21490202598079,0.667665293125003,-0.509242529744719,"brdcastiS1B-048_MAT.txt","broadcast interview","broadcast","spoken"
"brdcastiS1B-049_MAT.txt",1.00045240982123,-0.814570789325979,1.32649930819483,0.312838684263985,0.916711009473195,"brdcastiS1B-049_MAT.txt","broadcast interview","broadcast","spoken"
"brdcastiS1B-050_MAT.txt",0.552483003612661,0.52167635154688,-0.349810611631325,-0.379533659106369,-0.768683062307196,"brdcastiS1B-050_MAT.txt","broadcast interview","broadcast","spoken"
"businessS1B-071_MAT.txt",0.725303121161541,0.720870542648576,-0.190873547563115,-0.420059212925682,-0.0160947464272568,"businessS1B-071_MAT.txt","business transactions","busniness transactions","spoken"
"businessS1B-072_MAT.txt",1.02184007315884,0.984437383122699,-0.850904689347245,0.312177162698323,0.515066615037424,"businessS1B-072_MAT.txt","business transactions","busniness transactions","spoken"
"businessS1B-073_MAT.txt",1.32645659520312,2.1139696639995,-1.38695361996523,-0.348752637857949,-0.666462997428969,"businessS1B-073_MAT.txt","business transactions","busniness transactions","spoken"
"businessS1B-074_MAT.txt",1.0640366687079,-0.562895061428308,0.804599446158492,-0.125601422599539,-1.4827362195832,"businessS1B-074_MAT.txt","business transactions","busniness transactions","spoken"
"businessS1B-075_MAT.txt",1.56524009130082,-1.71826486200545,1.8383028885706,0.273878327681215,-1.33387492293,"businessS1B-075_MAT.txt","business transactions","busniness transactions","spoken"
"businessS1B-076_MAT.txt",1.17809865524467,-1.53168934776987,2.01945592077135,0.388204306477052,-0.504302565017848,"businessS1B-076_MAT.txt","business transactions","busniness transactions","spoken"
"businessS1B-077_MAT.txt",1.94389159025251,1.49512911479142,-1.49807779401578,0.346639765987739,-0.065006755763842,"businessS1B-077_MAT.txt","business transactions","busniness transactions","spoken"
"businessS1B-078_MAT.txt",1.77751466258013,0.716801137723282,-1.19588089004491,-0.120426595448884,0.0625467532007269,"businessS1B-078_MAT.txt","business transactions","busniness transactions","spoken"
"businessS1B-079_MAT.txt",1.40078530435362,0.241565868367282,-0.425073958993927,-0.522129996779545,-0.75991931649942,"businessS1B-079_MAT.txt","business transactions","busniness transactions","spoken"
"businessS1B-080_MAT.txt",1.08957518749857,1.17493456178439,-0.398102574869554,0.438224975388358,0.555535172825183,"businessS1B-080_MAT.txt","business transactions","busniness transactions","spoken"
"commentariesS2A-001_MAT.txt",0.204332803746362,0.244824424352823,-2.80310766020695,-2.50696111797862,-1.3088481498185,"commentariesS2A-001_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-002_MAT.txt",0.109750361635748,-0.642665116951392,-1.68264966495664,-1.82437730319764,-0.225305567975082,"commentariesS2A-002_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-003_MAT.txt",0.0296932413267804,-0.323260398689938,-2.83015814310336,-2.68862111529909,-1.5142288914109,"commentariesS2A-003_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-004_MAT.txt",0.065748255150304,-0.57884830857425,-2.18304719108367,-2.53570688172574,-1.43912485378094,"commentariesS2A-004_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-005_MAT.txt",0.296100095746614,-0.936987754583174,-1.439367249609,-1.55230341670113,-0.524648623156832,"commentariesS2A-005_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-006_MAT.txt",0.209936314790669,-0.798202256079206,-2.04279437249941,-2.41195636448829,-1.27477713274791,"commentariesS2A-006_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-007_MAT.txt",-0.198892169078873,-0.486594154495999,-0.408448606804027,-1.2395522918749,-0.156060628181557,"commentariesS2A-007_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-008_MAT.txt",0.343740381444928,0.77976503587254,-0.699144130739454,-1.31371388815506,-0.473927800647459,"commentariesS2A-008_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-009_MAT.txt",-0.428025880760963,-0.984616533017219,0.958407494419003,-0.811402129539686,-0.919813889692525,"commentariesS2A-009_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-010_MAT.txt",-0.519667301697546,-1.2311964498247,2.06967430658079,-0.788443793550863,0.0830796154588333,"commentariesS2A-010_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-011_MAT.txt",0.687523393468781,0.686708529770115,-1.13802284992422,-1.0804498540302,-0.703258087714075,"commentariesS2A-011_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-012_MAT.txt",0.583033009465197,-0.201682296343988,-0.466669045135565,-1.1962806257239,-1.01798884990385,"commentariesS2A-012_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-013_MAT.txt",0.198440953206269,-0.239603451365403,-2.12370794746454,-2.11263225373095,-0.755534413363804,"commentariesS2A-013_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-014_MAT.txt",-0.240531094550404,-1.1889455534769,1.52301242064596,-0.532668334182603,0.18087813184123,"commentariesS2A-014_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-015_MAT.txt",-0.00731270190242944,-1.25161522734532,1.00498332962003,-0.339376617464973,-0.117419641057267,"commentariesS2A-015_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-016_MAT.txt",0.243412493694293,-0.600896614386058,-1.53710164468262,-1.58511118453939,-0.684741013639965,"commentariesS2A-016_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-017_MAT.txt",0.366729772329756,0.201943414995611,-0.744197514725831,-1.0590435428059,-0.671059113775018,"commentariesS2A-017_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-018_MAT.txt",0.584230394160306,0.651774993686713,-0.962072088350513,-1.30159792234681,-0.647780632197153,"commentariesS2A-018_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-019_MAT.txt",0.491992511168729,0.713852503871208,-1.37811654485465,-1.46237264801838,-0.788535371833983,"commentariesS2A-019_MAT.txt","commentaries","commentaries","spoken"
"commentariesS2A-020_MAT.txt",0.223141781339256,-1.12682040213404,-1.45575254395196,-2.01199555116288,-0.70578840368982,"commentariesS2A-020_MAT.txt","commentaries","commentaries","spoken"
"comments2012.4527764_MAT.txt",-0.177965038908266,0.0025831648105277,0.89455124973363,0.0268481064687611,1.18984254828233,"comments2012.4527764_MAT.txt","online comments","online comments","written"
"comments2013.10374471_MAT.txt",-0.959137028208508,0.179718396944494,0.555649181378335,-0.878031242669054,-0.874004775760718,"comments2013.10374471_MAT.txt","online comments","online comments","written"
"comments2013.10749814_MAT.txt",-0.403001188701377,1.62028979051166,0.567335667807119,-0.0963589153744453,-0.305761264557866,"comments2013.10749814_MAT.txt","online comments","online comments","written"
"comments2013.11580291_MAT.txt",-0.0797158641806393,0.558709735439025,-0.187297872432151,0.00465448856351565,-0.270954166515037,"comments2013.11580291_MAT.txt","online comments","online comments","written"
"comments2013.11712162_MAT.txt",-0.580660576551073,0.763378137029801,0.653253846532041,-0.129165168778819,-0.92802039455951,"comments2013.11712162_MAT.txt","online comments","online comments","written"
"comments2013.12758327_MAT.txt",-1.04192265507233,0.0565374044250147,0.0925126381645671,-1.06006093921607,-0.298432800524453,"comments2013.12758327_MAT.txt","online comments","online comments","written"
"comments2013.13338436_MAT.txt",-0.350196148622877,1.3878686698762,0.517126722733311,0.00734055009358851,-0.274173380762235,"comments2013.13338436_MAT.txt","online comments","online comments","written"
"comments2013.13545348_MAT.txt",-0.639444493656077,1.25981087369253,0.480828472754912,0.938479427340612,-0.528374028114007,"comments2013.13545348_MAT.txt","online comments","online comments","written"
"comments2013.13702405_MAT.txt",-0.915395790195433,-0.830153014155228,2.10937192119636,-0.767820795794253,-0.654079252087166,"comments2013.13702405_MAT.txt","online comments","online comments","written"
"comments2013.14654368_MAT.txt",-0.632689938700978,0.531751667567569,2.03608614293257,0.508030194352202,-0.277634456975319,"comments2013.14654368_MAT.txt","online comments","online comments","written"
"comments2013.15015350_MAT.txt",-1.35889721982327,-1.62317097437761,2.80272488847716,0.650894420155236,0.518224110694084,"comments2013.15015350_MAT.txt","online comments","online comments","written"
"comments2013.15258988_MAT.txt",-0.556088583120984,2.18094019173875,-0.501585185301302,-0.494936518501427,-0.486219738589478,"comments2013.15258988_MAT.txt","online comments","online comments","written"
"comments2013.15551439_MAT.txt",-0.49985659185325,0.900512047302247,1.23044387482131,0.0815475057827291,0.622448908438222,"comments2013.15551439_MAT.txt","online comments","online comments","written"
"comments2013.15683665_MAT.txt",-0.901485588960389,0.16617261024881,0.0876928601344231,-0.451928074588532,-0.710585203260587,"comments2013.15683665_MAT.txt","online comments","online comments","written"
"comments2013.16059313_MAT.txt",-0.562588589448992,0.731376228029715,0.617301917334352,0.0610625224573539,-0.350555464518474,"comments2013.16059313_MAT.txt","online comments","online comments","written"
"comments2013.16069972_MAT.txt",-1.31299057115362,-0.182742262301367,0.880010172051861,-0.605066518445628,-0.986838763658299,"comments2013.16069972_MAT.txt","online comments","online comments","written"
"comments2013.7536781_MAT.txt",-0.789072137314043,-0.372312344004796,3.06431383932433,-0.276085397184623,-0.289420184646603,"comments2013.7536781_MAT.txt","online comments","online comments","written"
"comments2014.17357464_MAT.txt",-0.561850631664255,0.601647549478482,0.70895393101913,-1.02920831933874,-0.814575862991524,"comments2014.17357464_MAT.txt","online comments","online comments","written"
"comments2014.18056398_MAT.txt",-0.565308053094749,0.495966612594594,0.699266308873318,0.0498391804014383,0.373771622150454,"comments2014.18056398_MAT.txt","online comments","online comments","written"
"comments2014.18209186_MAT.txt",-0.867587170215181,1.8788164496562,0.0838480911181755,-1.1112025569065,-0.613630677797206,"comments2014.18209186_MAT.txt","online comments","online comments","written"
"comments2014.18458939_MAT.txt",-1.07891489668253,-0.307311552003698,2.45472505743643,0.562525603600435,0.137343542951413,"comments2014.18458939_MAT.txt","online comments","online comments","written"
"comments2014.18535432_MAT.txt",-0.665118037583162,1.0404308079196,1.0090066332156,0.14983809894269,-0.235172272801838,"comments2014.18535432_MAT.txt","online comments","online comments","written"
"comments2014.19155297_MAT.txt",-0.589610650736186,0.67052572549354,0.129756510771656,-0.406843438178306,-0.592535068100138,"comments2014.19155297_MAT.txt","online comments","online comments","written"
"comments2014.19358016_MAT.txt",-0.834792554946145,1.21829021644162,0.520174701144734,-0.29745607988652,-0.378594081735659,"comments2014.19358016_MAT.txt","online comments","online comments","written"
"comments2014.19453027_MAT.txt",-0.951187286914227,-0.127223356108688,1.20414224908021,-0.18376052833311,-0.798473896942887,"comments2014.19453027_MAT.txt","online comments","online comments","written"
"comments2014.19472467_MAT.txt",-0.724662056135451,0.531981497974852,0.917104681386791,-0.470813545517012,-0.702882737021397,"comments2014.19472467_MAT.txt","online comments","online comments","written"
"comments2014.19533911_MAT.txt",-0.93158052209816,0.550624432440968,0.637590900880047,-0.362578738224821,0.490149560453646,"comments2014.19533911_MAT.txt","online comments","online comments","written"
"comments2014.19911352_MAT.txt",-0.747888567356637,0.616460472529473,1.04055547626818,-0.283806529046525,-0.586567278360278,"comments2014.19911352_MAT.txt","online comments","online comments","written"
"comments2014.20274623_MAT.txt",-0.77978499417313,1.60940373715672,0.152092318833445,-0.303512510020507,-0.472696308724983,"comments2014.20274623_MAT.txt","online comments","online comments","written"
"comments2014.20274739_MAT.txt",-1.2631015393108,0.735954466546578,0.326824395625959,-0.983632199019064,-0.0423459761331315,"comments2014.20274739_MAT.txt","online comments","online comments","written"
"comments2014.20704953_MAT.txt",-0.976002926675973,1.2717946993586,0.740997507184655,-0.491654714524173,0.175759561504951,"comments2014.20704953_MAT.txt","online comments","online comments","written"
"comments2014.21614519_MAT.txt",-0.655457566743772,1.31226831052561,1.11928943369795,-0.0429045422986819,-0.231886800071848,"comments2014.21614519_MAT.txt","online comments","online comments","written"
