tag,factor,nice features
CONJ,0.334,conjuncts
NOMZ,0.493,nominalisations
PASS,0.392,agentless passives
PIRE,0.329,that relatives pie-pipes
PLACE,-0.522,place adverbials
TIME,-0.436,time adverbials
WZPAST,0.34,past prt whiz deletions
